field,moduleName,path,keyword,submodule
cash?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
shortTermInvestments?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
netReceivables?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
inventory?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
otherCurrentAssets?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
totalCurrentAssets?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
longTermInvestments?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
propertyPlantEquipment?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
otherAssets?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
totalAssets?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
accountsPayable?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
shortLongTermDebt?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
otherCurrentLiab?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
longTermDebt?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
otherLiab?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
totalCurrentLiabilities?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
totalLiab?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
commonStock?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
retainedEarnings?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
treasuryStock?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
otherStockholderEquity?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
totalStockholderEquity?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
netTangibleAssets?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
goodWill?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
intangibleAssets?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
deferredLongTermAssetCharges?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
deferredLongTermLiab?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
minorityInterest?: number | null;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
capitalSurplus?: number;,quoteSummary,balanceSheetHistory.balanceSheetStatements,,balanceSheetHistory
