field,moduleName,path,keyword,submodule
address1?: string;,quoteSummary,assetProfile,,assetProfile
address2?: string;,quoteSummary,assetProfile,,assetProfile
address3?: string;,quoteSummary,assetProfile,,assetProfile
city?: string;,quoteSummary,assetProfile,,assetProfile
state?: string;,quoteSummary,assetProfile,,assetProfile
zip?: string;,quoteSummary,assetProfile,,assetProfile
country?: string;,quoteSummary,assetProfile,,assetProfile
phone?: string;,quoteSummary,assetProfile,,assetProfile
fax?: string;,quoteSummary,assetProfile,,assetProfile
website?: string;,quoteSummary,assetProfile,,assetProfile
industry?: string;,quoteSummary,assetProfile,,assetProfile
industrySymbol?: string;,quoteSummary,assetProfile,,assetProfile
sector?: string;,quoteSummary,assetProfile,,assetProfile
longBusinessSummary?: string;,quoteSummary,assetProfile,,assetProfile
fullTimeEmployees?: number;,quoteSummary,assetProfile,,assetProfile
companyOfficers: CompanyOfficer[];,quoteSummary,assetProfile,,assetProfile
auditRisk?: number;,quoteSummary,assetProfile,,assetProfile
boardRisk?: number;,quoteSummary,assetProfile,,assetProfile
compensationRisk?: number;,quoteSummary,assetProfile,,assetProfile
shareHolderRightsRisk?: number;,quoteSummary,assetProfile,,assetProfile
overallRisk?: number;,quoteSummary,assetProfile,,assetProfile
governanceEpochDate?: Date;,quoteSummary,assetProfile,,assetProfile
compensationAsOfEpochDate?: Date;,quoteSummary,assetProfile,,assetProfile
name?: string;,quoteSummary,assetProfile,,assetProfile
startDate?: Date;,quoteSummary,assetProfile,,assetProfile
description?: string;,quoteSummary,assetProfile,,assetProfile
twitter?: string;,quoteSummary,assetProfile,,assetProfile
